,Player Name,Player Age,Value,Team,Position,Nationality
349,Jordan Pickford,29,€25.00m, Everton FC ,Goalkeeper,England
3178,Jordan Teze,23,€6.00m, PSV Eindhoven ,Right-Back,Netherlands
6046,Jordan Tillson,30,€350k, Ross County FC ,Defensive Midfield,England
4273,Jordan Torunarigha,25,€5.00m, KAA Gent ,Centre-Back,Germany
2198,Jordan Veretout,30,€14.00m, Olympique Marseille ,Defensive Midfield,France
6055,Jordan White,31,€450k, Ross County FC ,Centre-Forward,Scotland
516,Jordan Zemura,23,€4.00m, AFC Bournemouth ,Left-Back,Zimbabwe
568,Jordi Alba,34,€5.00m, FC Barcelona ,Left-Back,Spain
3546,Jordi Blom,20,€25k, FC Volendam ,Right Winger,Netherlands
952,Jordi Masip,34,€1.00m, Real Valladolid CF ,Goalkeeper,Spain
2090,Jordi Osei-Tutu,24,€1.50m, VfL Bochum ,Right-Back,England
6656,Jordi Quintillà,29,€1.50m, FC St. Gallen 1879 ,Defensive Midfield,Spain
7115,Jordi Sánchez,28,€600k, Widzew Lodz ,Centre-Forward,Spain
4442,Jordi Vanlerberghe,26,€1.20m, KV Mechelen ,Centre-Back,Belgium
3427,Jordy Bruijn,26,€700k, NEC Nijmegen ,Attacking Midfield,Netherlands
4022,Jordy Caicedo,25,€2.00m, Sivasspor ,Centre-Forward,Ecuador
3231,Jordy Clasie,31,€3.00m, AZ Alkmaar ,Defensive Midfield,Netherlands
6057,Jordy Hiwula,28,€300k, Ross County FC ,Centre-Forward,England
4471,Jordy Schelfhout,22,€100k, KV Oostende ,Goalkeeper,Belgium
4399,Joren Dom,33,€300k, Oud-Heverlee Leuven ,Right-Back,Belgium
3372,Jorg Schreuders,18,€25k, FC Groningen ,Central Midfield,Netherlands
4753,Jorge Carrascal,24,€8.00m, CSKA Moscow ,Attacking Midfield,Colombia
632,Jorge Cuenca,23,€5.00m, Villarreal CF ,Centre-Back,Spain
5639,Jorge Díaz,33,€200k, Panetolikos GFS ,Right Winger,Uruguay
2757,Jorge Fernandes,26,€1.50m, Vitória Guimarães SC ,Centre-Back,Portugal
7168,Jorge Félix,31,€350k, Piast Gliwice ,Attacking Midfield,Spain
5897,Jorge Grant,28,€400k, Heart of Midlothian FC ,Central Midfield,England
4459,Jorge Hernández,22,€300k, KV Mechelen ,Attacking Midfield,Mexico
979,Jorge Meré,25,€1.50m, Cádiz CF ,Centre-Back,Spain
3825,Jorge Morel,25,€3.20m, Adana Demirspor ,Defensive Midfield,Paraguay
7777,Jorge Obregón,26,€700k, HNK Rijeka ,Centre-Forward,Colombia
10835,Jorge Segura,26,€250k, Lokomotiv Plovdiv ,Centre-Back,Colombia
3023,Jorge Silva,27,€400k, FC Paços de Ferreira ,Right-Back,Portugal
3154,Jorge Sánchez,25,€6.00m, Ajax Amsterdam ,Right-Back,Mexico
4597,Jorge Teixeira,36,€100k, Sint-Truidense VV ,Centre-Back,Portugal
10668,Jorginho,27,€400k, Ludogorets Razgrad ,Left Winger,Guinea-Bissau
7864,Jorgo Pellumbi,22,€450k, NK Varazdin ,Centre-Back,Albania
2355,Joris Chotard,21,€9.00m, Montpellier HSC ,Defensive Midfield,France
4502,Joris Delle,33,€200k, KV Kortrijk ,Goalkeeper,France
4351,Joris Kayembe,28,€2.20m, RSC Charleroi ,Left-Back,DR Congo
3415,Joris Kramer,26,€650k, NEC Nijmegen ,Centre-Back,Netherlands
4067,Jorman Campuzano,26,€1.60m, Giresunspor ,Defensive Midfield,Colombia
4167,Jorne Spileers,18,€800k, Club Brugge KV ,Centre-Back,Belgium
3149,Jorrel Hato,17,€2.50m, Ajax Amsterdam ,Centre-Back,Netherlands
1027,Josan,33,€1.00m, Elche CF ,Right Winger,Spain
985,Joseba Zaldua,30,€2.50m, Cádiz CF ,Right-Back,Spain
10027,Josef Brian Baccay,21,€300k, Odds BK ,Left-Back,Norway
4159,Josef Bursik,22,€2.00m, Club Brugge KV ,Goalkeeper,England
8608,Josef Divisek,32,€150k, FC Zbrojovka Brno ,Left-Back,Czech Republic
8694,Josef Jindrisek,42,€25k, Bohemians Prague 1905 ,Defensive Midfield,Czech Republic
8611,Josef Kozeluh,21,€200k, FC Zbrojovka Brno ,Right-Back,Czech Republic
10233,Josef Kvida,26,€800k, Pafos FC ,Centre-Back,Czech Republic
5355,Josef Weberbauer,25,€200k, SV Ried ,Right-Back,Austria
872,Joselu,33,€6.00m, RCD Espanyol Barcelona ,Centre-Forward,Spain
755,Joseph Aidoo,27,€8.00m, Celta de Vigo ,Centre-Back,Ghana
4035,Joseph Attamah,28,€650k, Kayserispor ,Defensive Midfield,Ghana
9722,Joseph Baffo,30,€500k, Halmstads BK ,Centre-Back,Sweden
9386,Joseph Ceesay,24,€750k, Malmö FF ,Right-Back,Sweden
6008,Joseph Efford,26,€300k, Motherwell FC ,Centre-Forward,United States
4274,Joseph Okumu,25,€4.00m, KAA Gent ,Centre-Back,Kenya
4210,Joseph Paintsil,25,€9.00m, KRC Genk ,Right Winger,Ghana
5921,Josh Campbell,22,€550k, Hibernian FC ,Central Midfield,Scotland
424,Josh Dasilva,24,€9.00m, Brentford FC ,Central Midfield,England
1514,Josh Doig,20,€10.00m, Hellas Verona ,Left-Back,Scotland
3524,Josh Flint,22,€300k, FC Volendam ,Centre-Back,England
5902,Josh Ginnelly,26,€700k, Heart of Midlothian FC ,Left Winger,England
6002,Josh Morris,31,€350k, Motherwell FC ,Left Midfield,England
6052,Josh Sims,26,€400k, Ross County FC ,Right Winger,England
6060,Josh Stones,19,€50k, Ross County FC ,Centre-Forward,England
1910,Josha Vagnoman,22,€5.00m, VfB Stuttgart ,Right-Back,Germany
8631,Joshua Akpudje,24,€375k, FK Jablonec ,Centre-Back,Nigeria
3286,Joshua Brenet,29,€3.00m, Twente Enschede FC ,Right-Back,Netherlands
3504,Joshua Eijgenraam,21,€400k, Excelsior Rotterdam ,Defensive Midfield,Netherlands
1691,Joshua Eze,20,€200k, Bayer 04 Leverkusen ,Defensive Midfield,Germany
1603,Joshua Kimmich,28,€80.00m, Bayern Munich ,Defensive Midfield,Germany
3691,Joshua King,31,€6.00m, Fenerbahce ,Centre-Forward,Norway
3449,Joshua Kitolano,21,€3.00m, Sparta Rotterdam ,Central Midfield,Norway
1977,Joshua Schwirten,21,€200k, 1. FC Köln ,Central Midfield,Germany
1355,Joshua Zirkzee,21,€9.00m, Bologna FC 1909 ,Centre-Forward,Netherlands
1242,Josip Brekalo,24,€6.50m, ACF Fiorentina ,Left Winger,Croatia
8093,Josip Calusic,29,€1.00m, FK TSC Backa Topola ,Centre-Back,Croatia
7715,Josip Drmic,30,€3.00m, GNK Dinamo Zagreb ,Centre-Forward,Switzerland
7723,Josip Elez,28,€1.10m, HNK Hajduk Split ,Centre-Back,Croatia
1852,Josip Juranovic,27,€9.00m, 1.FC Union Berlin ,Right-Back,Croatia
7938,Josip Knezevic,34,€500k, HNK Sibenik ,Attacking Midfield,Croatia
7929,Josip Kvesic,32,€100k, HNK Sibenik ,Left-Back,Bosnia-Herzegovina
7969,Josip Mihalic,20,€50k, Slaven Belupo Koprivnica ,Attacking Midfield,Croatia
7705,Josip Misic,28,€3.50m, GNK Dinamo Zagreb ,Defensive Midfield,Croatia
7857,Josip Mitrovic,22,€500k, HNK Gorica ,Right Winger,Croatia
7789,Josip Pivaric,34,€500k, NK Lokomotiva Zagreb ,Left-Back,Croatia
7495,Josip Posavec,27,€350k, Aalborg BK ,Goalkeeper,Croatia
8213,Josip Projic,35,€50k, FK Napredak Krusevac ,Left-Back,Serbia
7424,Josip Radosevic,29,€1.50m, Bröndby IF ,Defensive Midfield,Croatia
7862,Josip Silic,23,€100k, NK Varazdin ,Goalkeeper,Croatia
7828,Josip Spoljaric,26,€350k, NK Osijek ,Second Striker,Croatia
1601,Josip Stanisic,23,€12.00m, Bayern Munich ,Right-Back,Croatia
7696,Josip Sutalo,23,€18.00m, GNK Dinamo Zagreb ,Centre-Back,Croatia
10838,Josip Tomasevic,29,€300k, Lokomotiv Plovdiv ,Left-Back,Croatia
1655,Josko Gvardiol,21,€75.00m, RB Leipzig ,Centre-Back,Croatia
8854,Joss Didiba,25,€200k, FC Trinity Zlin ,Defensive Midfield,Cameroon
9955,Jost Urbancic,22,€300k, Viking FK ,Left-Back,Slovenia
10062,Jostein Ekeland,25,€300k, Strømsgodset IF ,Left Winger,Norway
10179,Jostein Gundersen,27,€400k, Tromsø IL ,Centre-Back,Norway
1772,Josuha Guilavogui,32,€3.00m, VfL Wolfsburg ,Defensive Midfield,France
6916,Josué,32,€1.00m, Legia Warszawa ,Attacking Midfield,Portugal
2505,Josué Escartin,20,€250k, Stade Brestois 29 ,Centre-Back,France
3095,Josué Sá,30,€700k, Rio Ave FC ,Centre-Back,Portugal
6805,José Aguilar,22,€100k, FC Sion ,Central Midfield,Spain
5813,José Alberto Cañas,35,€150k, Ionikos Nikeas ,Central Midfield,Spain
870,José Carlos Lazo,27,€2.50m, RCD Espanyol Barcelona ,Left Winger,Spain
906,José Copete,23,€3.00m, RCD Mallorca ,Centre-Back,Spain
10292,José Crespo,36,€350k, APOEL Nicosia ,Centre-Back,Spain
10680,José Córdoba,21,€2.00m, Levski Sofia ,Centre-Back,Panama
2265,José Fonte,39,€700k, LOSC Lille ,Centre-Back,Portugal
3613,José Fontán,23,€800k, Go Ahead Eagles ,Centre-Back,Spain
711,José Gayà,27,€35.00m, Valencia CF ,Left-Back,Spain
866,José Gragera,22,€3.00m, RCD Espanyol Barcelona ,Central Midfield,Spain
651,José Luis Morales,35,€4.00m, Villarreal CF ,Centre-Forward,Spain
1150,José Luis Palomino,33,€3.50m, Atalanta BC ,Centre-Back,Argentina
5751,José Luis Valiente,31,€250k, Asteras Tripolis ,Defensive Midfield,Spain
1379,José Machín,26,€1.50m, AC Monza ,Central Midfield,Equatorial Guinea
988,José Mari,35,€400k, Cádiz CF ,Defensive Midfield,Spain
583,José María Giménez,28,€35.00m, Atlético de Madrid ,Centre-Back,Uruguay
892,José Pozo,27,€1.20m, Rayo Vallecano ,Attacking Midfield,Spain
10478,José Romo,29,€400k, AEL Limassol ,Centre-Forward,Venezuela
267,José Sá,30,€18.00m, Wolverhampton Wanderers ,Goalkeeper,Portugal
1015,José Ángel Carmona,21,€4.00m, Elche CF ,Right-Back,Spain
5873,Jota,24,€12.00m, Celtic FC ,Left Winger,Portugal
2867,Jota Oliveira,20,€200k, GD Estoril Praia ,Goalkeeper,Portugal
2773,Jota Silva,23,€1.00m, Vitória Guimarães SC ,Left Winger,Portugal
3820,Jovan Manev,22,€600k, Adana Demirspor ,Centre-Back,North Macedonia
8179,Jovan Marinkovic,26,€150k, FK Spartak Subotica ,Centre-Back,Serbia
8956,Jovan Marković,22,€1.20m, Universitatea Craiova ,Centre-Forward,Romania
8000,Jovan Mijatovic,17,€1.50m, Red Star Belgrade ,Right Winger,Serbia
7978,Jovan Miladinovic,16, , Red Star Belgrade ,Goalkeeper,Serbia
8087,Jovan Milosevic,17,€200k, FK Vojvodina Novi Sad ,Centre-Forward,Serbia
8304,Jovan Mituljikic,20,€400k, FK Mladost GAT Novi Sad ,Attacking Midfield,Serbia
8223,Jovan Zogovic,22,€50k, FK Napredak Krusevac ,Left Winger,Serbia
2718,Jovane,24,€3.50m, Sporting CP ,Left Winger,Cape Verde
8875,Joyskim Dawa,27,€800k, FCSB ,Centre-Back,Cameroon
7179,Jozef Burta,23,€25k, Slask Wroclaw ,Goalkeeper,Poland
7288,Jozef Kolasa,18,€25k, Radomiak Radom ,Defensive Midfield,Poland
6817,Jozef Pukaj,23,€300k, FC Winterthur ,Goalkeeper,Kosovo
7871,Jozo Stanic,24,€500k, NK Varazdin ,Right-Back,Croatia
2970,João Afonso,28,€400k, CS Marítimo ,Defensive Midfield,Brazil
6885,João Amaral,31,€900k, Lech Poznan ,Attacking Midfield,Portugal
3042,João Basso,26,€800k, FC Arouca ,Centre-Back,Brazil
4733,João Batxi,24,€1.00m, FK Krasnodar ,Right Winger,Angola
1598,João Cancelo,28,€60.00m, Bayern Munich ,Right-Back,Portugal
2891,João Carlos,28,€650k, GD Estoril Praia ,Centre-Forward,Brazil
2881,João Carvalho,26,€2.00m, GD Estoril Praia ,Attacking Midfield,Portugal
3128,João Correia,26,€750k, GD Chaves ,Right-Back,Cape Verde
3779,João Figueiredo,26,€3.20m, Basaksehir FK ,Centre-Forward,Brazil
52,João Félix,23,€50.00m, Chelsea FC ,Second Striker,Portugal
2877,João Gamboa,26,€500k, GD Estoril Praia ,Defensive Midfield,Portugal
283,João Gomes,22,€15.00m, Wolverhampton Wanderers ,Central Midfield,Brazil
2896,João Gonçalves,22,€100k, Boavista FC ,Goalkeeper,Portugal
3104,João Graça,27,€400k, Rio Ave FC ,Central Midfield,Portugal
2884,João Marques,21,€300k, GD Estoril Praia ,Attacking Midfield,Portugal
3135,João Mendes,28,€500k, GD Chaves ,Attacking Midfield,Portugal
284,João Moutinho,36,€2.00m, Wolverhampton Wanderers ,Central Midfield,Portugal
2674,João Mário,23,€16.00m, FC Porto ,Right-Back,Portugal
2655,João Neves,18,€2.50m, SL Benfica ,Central Midfield,Portugal
2986,João Nunes,27,€700k, Casa Pia AC ,Centre-Back,Portugal
493,João Palhinha,27,€35.00m, Fulham FC ,Defensive Midfield,Portugal
9786,João Paulo,22, , Varbergs BoIS ,Centre-Forward,Brazil
3133,João Pedro,30,€600k, GD Chaves ,Central Midfield,Portugal
3122,João Queirós,24,€150k, GD Chaves ,Centre-Back,Portugal
4507,João Silva,24,€550k, KV Kortrijk ,Centre-Back,Portugal
3134,João Teixeira,29,€750k, GD Chaves ,Attacking Midfield,Portugal
3041,João Valido,23,€100k, FC Arouca ,Goalkeeper,Portugal
2315,João Victor,24,€8.00m, FC Nantes ,Centre-Back,Brazil
3022,João Vigário,27,€200k, FC Paços de Ferreira ,Left-Back,Portugal
3460,João Virgínia,23,€700k, SC Cambuur Leeuwarden ,Goalkeeper,Portugal
4857,Joãozinho,34,€600k, FC Sochi ,Left Winger,Russia
3169,Joël Drommel,26,€3.00m, PSV Eindhoven ,Goalkeeper,Netherlands
10480,Joël Mall,32,€500k, Olympiakos Nicosia ,Goalkeeper,Switzerland
6585,Joël Monteiro,23,€700k, BSC Young Boys ,Centre-Forward,Portugal
6791,Joël Schmied,24,€500k, FC Sion ,Centre-Back,Switzerland
333,Joël Veltman,31,€10.00m, Brighton & Hove Albion ,Right-Back,Netherlands
9118,Juan Bauza,26,€800k, FC U Craiova 1948 ,Attacking Midfield,Argentina
2115,Juan Bernat,30,€12.00m, Paris Saint-Germain ,Left-Back,Spain
1513,Juan Cabal,22,€2.50m, Hellas Verona ,Centre-Back,Colombia
981,Juan Cala,33,€800k, Cádiz CF ,Centre-Back,Spain
7926,Juan Camilo Mesa,25,€200k, HNK Sibenik ,Centre-Back,Colombia
824,Juan Carlos,35,€300k, Girona FC ,Goalkeeper,Spain
808,Juan Cruz,30,€2.50m, CA Osasuna ,Left-Back,Spain
1131,Juan Cuadrado,34,€5.00m, Juventus FC ,Right Midfield,Colombia
7080,Juan Cámara,29,€200k, Jagiellonia Bialystok ,Attacking Midfield,Spain
3033,Juan Delgado,30,€1.00m, FC Paços de Ferreira ,Right Winger,Chile
5750,Juan Domínguez,33,€350k, Asteras Tripolis ,Defensive Midfield,Spain
10532,Juan Felipe,35,€250k, Nea Salamina Famagusta ,Attacking Midfield,Brazil
638,Juan Foyth,25,€25.00m, Villarreal CF ,Right-Back,Argentina
786,Juan Iglesias,24,€3.50m, Getafe CF ,Right-Back,Spain
5547,Juan Iturbe,29,€1.00m, Aris Thessaloniki ,Left Winger,Paraguay
1037,Juan Jesus,31,€4.00m, SSC Napoli ,Centre-Back,Brazil
1926,Juan José Perea,23,€2.40m, VfB Stuttgart ,Centre-Forward,Colombia
304,Juan Larios,19,€7.00m, Southampton FC ,Left-Back,Spain
2828,Juan Manuel Boselli,23,€500k, Gil Vicente FC ,Right Winger,Uruguay
3657,Juan Mata,34,€1.50m, Galatasaray ,Attacking Midfield,Spain
660,Juan Miranda,23,€5.00m, Real Betis Balompié ,Left-Back,Spain
7465,Juan Moreno,20,€50k, FC Midtjylland ,Centre-Forward,Colombia
5754,Juan Munafo,35,€250k, Asteras Tripolis ,Central Midfield,Argentina
1142,Juan Musso,28,€14.00m, Atalanta BC ,Goalkeeper,Argentina
5576,Juan Neira,34,€400k, OFI Crete FC ,Attacking Midfield,Argentina
5504,Juankar,33,€900k, Panathinaikos Athens ,Left-Back,Spain
671,Juanmi,29,€15.00m, Real Betis Balompié ,Left Winger,Spain
801,Juanmi Latasa,22,€1.00m, Getafe CF ,Centre-Forward,Spain
830,Juanpe,31,€1.50m, Girona FC ,Centre-Back,Spain
5632,Juanpi,29,€550k, Panetolikos GFS ,Attacking Midfield,Venezuela
2558,Jubal,29,€2.00m, AJ Auxerre ,Centre-Back,Brazil
1636,Jude Bellingham,19,€120.00m, Borussia Dortmund ,Central Midfield,England
8113,Jug Stanojev,23,€300k, FK TSC Backa Topola ,Right Winger,Serbia
5779,Juha Pirinen,31,€300k, Volos NPS ,Left-Back,Finland
10574,Juhani Ojala,33,€250k, Doxa Katokopias ,Centre-Back,Finland
679,Julen Agirrezabala,22,€5.00m, Athletic Bilbao ,Goalkeeper,Spain
3605,Julen Lobete,22,€1.70m, RKC Waalwijk ,Centre-Forward,Spain
563,Jules Koundé,24,€60.00m, FC Barcelona ,Centre-Back,France
4352,Jules Van Cleemput,26,€900k, RSC Charleroi ,Right-Back,Belgium
3505,Julian Baas,20,€600k, Excelsior Rotterdam ,Central Midfield,Netherlands
10144,Julian Bakkeli Gonstad,16,€50k, Hamarkameratene ,Attack,Norway
1885,Julian Baumgartlinger,35,€600k, FC Augsburg ,Defensive Midfield,Austria
1638,Julian Brandt,26,€40.00m, Borussia Dortmund ,Attacking Midfield,Germany
1963,Julian Chabot,25,€3.50m, 1. FC Köln ,Centre-Back,Germany
2658,Julian Draxler,29,€8.00m, SL Benfica ,Left Winger,Germany
10130,Julian Dunn,22,€200k, Hamarkameratene ,Centre-Back,Canada
2004,Julian Eitschberger,19,€350k, Hertha BSC ,Right-Back,Germany
9812,Julian Faye Lund,23,€400k, FK Bodø/Glimt ,Goalkeeper,Norway
5328,Julian Halwachs,20,€150k, TSV Hartberg ,Defensive Midfield,Austria
2560,Julian Jeanvier,31,€800k, AJ Auxerre ,Centre-Back,Guinea
3592,Julian Lelieveld,25,€700k, RKC Waalwijk ,Right-Back,Netherlands
2419,Julian Pollersbeck,28,€600k, FC Lorient ,Goalkeeper,Germany
4532,Julian Renner,19,€50k, KAS Eupen ,Goalkeeper,Germany
1959,Julian Roloff,22,€100k, 1. FC Köln ,Goalkeeper,Germany
1628,Julian Ryerson,25,€10.00m, Borussia Dortmund ,Right-Back,Norway
5351,Julian Turi,21,€300k, SV Ried ,Centre-Back,Austria
6667,Julian Von Moos,22,€1.50m, FC St. Gallen 1879 ,Right Winger,Switzerland
1746,Julian Weigl,27,€15.00m, Borussia Mönchengladbach ,Defensive Midfield,Germany
5362,Julian Wießmeier,30,€200k, SV Ried ,Right Midfield,Germany
4279,Julien De Sart,28,€2.50m, KAA Gent ,Defensive Midfield,Belgium
1645,Julien Duranville,16,€5.00m, Borussia Dortmund ,Right Winger,Belgium
10643,Julien Lamy,23,€150k, Enosis Neon Paralimniou ,Left Winger,France
2423,Julien Laporte,29,€3.00m, FC Lorient ,Centre-Back,France
2294,Julien Le Cardinal,25,€2.50m, RC Lens ,Right-Back,France
4467,Julien Ngoy,25,€900k, KV Mechelen ,Centre-Forward,Belgium
2437,Julien Ponceau,22,€2.50m, FC Lorient ,Attacking Midfield,France
9312,Julio Donisa,29,€200k, ACSC FC Arges ,Centre-Forward,Madagascar
345,Julio Enciso,19,€11.00m, Brighton & Hove Albion ,Centre-Forward,Paraguay
3282,Julio Pleguezuelo,26,€1.10m, Twente Enschede FC ,Centre-Back,Spain
1496,Julius Beck,17,€250k, Spezia Calcio ,Central Midfield,Denmark
3556,Julius Dirksen,20,€400k, FC Emmen ,Centre-Back,Netherlands
5396,Julius Ertlthaler,25,€200k, WSG Tirol ,Attacking Midfield,Austria
10163,Julius Eskesen,24,€350k, FK Haugesund ,Central Midfield,Denmark
10365,Julius Szöke,27,€900k, Aris Limassol ,Defensive Midfield,Slovakia
7112,Juliusz Letniowski,25,€500k, Widzew Lodz ,Attacking Midfield,Poland
5760,Julián Bartolo,26,€600k, Asteras Tripolis ,Left Winger,Argentina
5525,Julián Cuesta,32,€500k, Aris Thessaloniki ,Goalkeeper,Spain
23,Julián Álvarez,23,€50.00m, Manchester City ,Centre-Forward,Argentina
7102,Juljan Shehu,24,€250k, Widzew Lodz ,Defensive Midfield,Albania
10237,Juninho,27,€600k, Pafos FC ,Left-Back,Brazil
10612,Juninho Carpina,23,€100k, Akritas Chlorakas ,Left Winger,Brazil
5081,Junior Adamu,21,€8.00m, Red Bull Salzburg ,Centre-Forward,Austria
1722,Junior Dina Ebimbe,22,€7.50m, Eintracht Frankfurt ,Right Midfield,France
441,Junior Firpo,26,€12.00m, Leeds United ,Left-Back,Dominican Republic
2801,Junior Kadile,20,€600k, FC Famalicão ,Right Winger,France
1083,Junior Messias,31,€6.00m, AC Milan ,Right Winger,Brazil
1430,Junior Sambia,26,€3.50m, US Salernitana 1919 ,Right-Back,France
528,Junior Stanislas,33,€700k, AFC Bournemouth ,Left Winger,England
9343,Junior Tallo,30,€300k, FC Botosani ,Centre-Forward,Cote d'Ivoire
2413,Junya Ito,30,€10.00m, Stade Reims ,Right Winger,Japan
8937,Juraj Badelj,19,€100k, Universitatea Craiova ,Centre-Back,Croatia
8578,Juraj Chvatal,26,€300k, SK Sigma Olomouc ,Right-Back,Slovakia
3852,Jure Balkovec,28,€2.00m, Alanyaspor ,Left-Back,Slovenia
4231,Jurgen Ekkelenkamp,23,€5.50m, Royal Antwerp FC ,Central Midfield,Netherlands
10705,Jurgen Mattheij,30,€1.50m, CSKA-Sofia ,Centre-Back,Netherlands
6910,Jurgen Çelhaka,22,€300k, Legia Warszawa ,Defensive Midfield,Albania
5250,Jurica Jurcec,21,€150k, SCR Altach ,Right Winger,Croatia
7845,Jurica Prsir,22,€1.50m, HNK Gorica ,Defensive Midfield,Croatia
7332,Jurich Carolina,24,€200k, Miedz Legnica ,Centre-Back,Curacao
3587,Juriën Gaari,29,€450k, RKC Waalwijk ,Centre-Back,Curacao
3146,Jurrien Timber,21,€42.00m, Ajax Amsterdam ,Centre-Back,Netherlands
9483,Jusef Erabi,19,€150k, Hammarby IF ,Centre-Forward,Sweden
3192,Justin Bijlow,25,€13.00m, Feyenoord Rotterdam ,Goalkeeper,Netherlands
1824,Justin Che,19,€2.00m, TSG 1899 Hoffenheim ,Right-Back,United States
1982,Justin Diehl,18,€500k, 1. FC Köln ,Second Striker,Germany
5400,Justin Forst,20,€300k, WSG Tirol ,Centre-Forward,Austria
6737,Justin Hammel,22,€500k, Grasshopper Club Zurich ,Goalkeeper,Switzerland
2048,Justin Heekeren,22,€250k, FC Schalke 04 ,Goalkeeper,Germany
722,Justin Kluivert,23,€12.00m, Valencia CF ,Left Winger,Netherlands
6178,Justin Lonwijk,23,€1.00m, Dynamo Kyiv ,Central Midfield,Netherlands
5073,Justin Omoregie,19,€800k, Red Bull Salzburg ,Central Midfield,Austria
9710,Justin Salmon,24,€225k, Degerfors IF ,Central Midfield,Liberia
7785,Justin de Haas,23,€750k, NK Lokomotiva Zagreb ,Centre-Back,Netherlands
5095,Jusuf Gazibegovic,23,€2.50m, SK Sturm Graz ,Right-Back,Bosnia-Herzegovina
2608,Jérémie Bela,30,€1.80m, Clermont Foot 63 ,Left Winger,Angola
1161,Jérémie Boga,26,€15.00m, Atalanta BC ,Left Winger,Cote d'Ivoire
9267,Jérémy Corinus,26,€200k, AFC Chindia Targoviste ,Defensive Midfield,France
2184,Jérémy Doku,20,€18.00m, Stade Rennais FC ,Right Winger,Belgium
6676,Jérémy Frick,30,€500k, Servette FC ,Goalkeeper,Switzerland
6672,Jérémy Guillemenot,25,€900k, FC St. Gallen 1879 ,Centre-Forward,Switzerland
9104,Jérémy Huyghebaert,34,€350k, FC U Craiova 1948 ,Left-Back,Belgium
2521,Jérémy Le Douaron,24,€3.00m, Stade Brestois 29 ,Centre-Forward,France
2242,Jérôme Boateng,34,€1.00m, Olympique Lyon ,Centre-Back,Germany
4548,Jérôme Déom,23,€400k, KAS Eupen ,Central Midfield,Belgium
5059,Jérôme Onguéné,25,€3.50m, Red Bull Salzburg ,Centre-Back,Cameroon
1850,Jérôme Roussillon,30,€3.00m, 1.FC Union Berlin ,Left-Back,Guadeloupe
4406,Jón Dagur Thorsteinsson,24,€2.50m, Oud-Heverlee Leuven ,Left Winger,Iceland
3142,Jô,27,€300k, GD Chaves ,Centre-Forward,Brazil
5085,Jörg Siebenhandl,33,€400k, SK Sturm Graz ,Goalkeeper,Austria
7598,Jörgen Skjelvik,31,€400k, Odense Boldklub ,Left-Back,Norway
771,Jörgen Strand Larsen,23,€11.00m, Celta de Vigo ,Centre-Forward,Norway
4716,Júnior Alonso,30,€7.00m, FK Krasnodar ,Centre-Back,Paraguay
7462,Júnior Brumado,23,€1.50m, FC Midtjylland ,Centre-Forward,Brazil
8969,Júnior Morais,36,€300k, FC Rapid 1923 ,Left-Back,Brazil
10794,Júnior Palmares,26,€100k, Arda Kardzhali ,Attacking Midfield,Brazil
9318,Júnior Pius,27,€300k, FC Botosani ,Centre-Back,Nigeria
9778,Júnior Pussick,20, , Varbergs BoIS ,Attacking Midfield,Guinea-Bissau
5330,Jürgen Heil,26,€650k, TSV Hartberg ,Central Midfield,Austria
5343,Jürgen Lemmerer,20,€100k, TSV Hartberg ,Centre-Forward,Austria
3642,Kaan Ayhan,28,€4.00m, Galatasaray ,Centre-Back,Turkey
3967,Kaan Cinkaya,19,€50k, MKE Ankaragücü ,Goalkeeper,Turkey
8475,Kaan Kairinen,24,€700k, AC Sparta Prague ,Central Midfield,Finland
7473,Kaare Barslund,19,€250k, FC Nordsjaelland ,Centre-Back,Denmark
6989,Kacper Bieszczad,20,€1.00m, Zaglebie Lubin ,Goalkeeper,Poland
7376,Kacper Bojanczyk,18,€25k, Korona Kielce ,Attacking Midfield,Poland
7039,Kacper Capiga,18, , Górnik Zabrze ,Defensive Midfield,Poland
7016,Kacper Chodyna,23,€750k, Zaglebie Lubin ,Right Winger,Poland
6969,Kacper Jodlowski,23,€25k, Cracovia ,Defensive Midfield,Poland
7382,Kacper Kostorz,23,€250k, Korona Kielce ,Centre-Forward,Poland
3315,Kacper Kozlowski,19,€8.00m, Vitesse Arnhem ,Central Midfield,Poland
6998,Kacper Lepczynski,21,€25k, Zaglebie Lubin ,Centre-Back,Poland
6946,Kacper Lukasiak,19,€25k, Pogon Szczecin ,Attacking Midfield,Poland
7013,Kacper Masiak,18,€50k, Zaglebie Lubin ,Attacking Midfield,Poland
7270,Kacper Sezonienko,20,€500k, Lechia Gdansk ,Centre-Forward,Poland
6988,Kacper Smiglewski,18, , Cracovia ,Centre-Forward,Poland
6942,Kacper Smolinski,22,€400k, Pogon Szczecin ,Central Midfield,Poland
7071,Kacper Tabis,23,€150k, Jagiellonia Bialystok ,Right-Back,Poland
7010,Kacper Terlecki,17,€25k, Zaglebie Lubin ,Central Midfield,Poland
6896,Kacper Tobiasz,20,€4.00m, Legia Warszawa ,Goalkeeper,Poland
6842,Kacper Trelowski,19,€700k, Rakow Czestochowa ,Goalkeeper,Poland
1345,Kacper Urbanski,18,€250k, Bologna FC 1909 ,Defensive Midfield,Poland
4009,Kader Keita,22,€800k, Sivasspor ,Defensive Midfield,Cote d'Ivoire
